Skip Input Hidden,Skip Hidden 1,Skip Hidden 2,F1 Macro
"(4,)",{2: 0},{4: 1},"0,826654085807404"
"(4,)",{2: 0},"{3: 0, 4: 1}","0,8074928144754886"
"(4,)",{3: 1},{},"0,8313592988682889"
"(4,)",{3: 1},{3: 0},"0,8170163551170416"
"(4,)",{3: 1},{4: 1},"0,8476498051259452"
"(4,)",{3: 1},"{3: 0, 4: 1}","0,8028043385186241"
"(4,)",{4: 2},{},"0,8145063958597794"
"(4,)",{4: 2},{3: 0},"0,8122852302976525"
"(4,)",{4: 2},{4: 1},"0,8225655678091115"
"(4,)",{4: 2},"{3: 0, 4: 1}","0,8239648382505527"
"(4,)","{2: 0, 3: 1}",{},"0,8335697583817885"
"(4,)","{2: 0, 3: 1}",{3: 0},"0,8304739120528595"
"(4,)","{2: 0, 3: 1}",{4: 1},"0,848997379432162"
"(4,)","{2: 0, 3: 1}","{3: 0, 4: 1}","0,8004771168680943"
"(4,)","{2: 0, 4: 2}",{},"0,8551593127369526"
"(4,)","{2: 0, 4: 2}",{3: 0},"0,8496611891073655"
"(4,)","{2: 0, 4: 2}",{4: 1},"0,8241805813234384"
"(4,)","{2: 0, 4: 2}","{3: 0, 4: 1}","0,8109205080633652"
"(4,)","{3: 1, 4: 2}",{},"0,8378279895451982"
"(4,)","{3: 1, 4: 2}",{3: 0},"0,8003165596712029"
"(4,)","{3: 1, 4: 2}",{4: 1},"0,8274949092719127"
"(4,)","{3: 1, 4: 2}","{3: 0, 4: 1}","0,8356954639563335"
"(4,)","{2: 0, 3: 1, 4: 2}",{},"0,7950096019268951"
"(4,)","{2: 0, 3: 1, 4: 2}",{3: 0},"0,8173654916512059"
"(4,)","{2: 0, 3: 1, 4: 2}",{4: 1},"0,8236008711785109"
"(4,)","{2: 0, 3: 1, 4: 2}","{3: 0, 4: 1}","0,8434029738377565"
"(1, 2)",{},{},"0,8242068233979255"
"(1, 2)",{},{3: 0},"0,7972795753526649"
"(1, 2)",{},{4: 1},"0,8288526369565926"
"(1, 2)",{},"{3: 0, 4: 1}","0,8266577935522036"
"(1, 2)",{2: 0},{},"0,7956986872776346"
"(1, 2)",{2: 0},{3: 0},"0,8356525244397099"
"(1, 2)",{2: 0},{4: 1},"0,8025878883021739"
"(1, 2)",{2: 0},"{3: 0, 4: 1}","0,830743728321368"
"(1, 2)",{3: 1},{},"0,822431536717251"
"(1, 2)",{3: 1},{3: 0},"0,8448717948717951"
"(1, 2)",{3: 1},{4: 1},"0,8211436182864754"
"(1, 2)",{3: 1},"{3: 0, 4: 1}","0,8596525594923765"
"(1, 2)",{4: 2},{},"0,8281777228982198"
"(1, 2)",{4: 2},{3: 0},"0,8541185304833557"
"(1, 2)",{4: 2},{4: 1},"0,842463437183934"
"(1, 2)",{4: 2},"{3: 0, 4: 1}","0,8013540317888144"
"(1, 2)","{2: 0, 3: 1}",{},"0,8605830782489822"
"(1, 2)","{2: 0, 3: 1}",{3: 0},"0,8353895728331818"
"(1, 2)","{2: 0, 3: 1}",{4: 1},"0,8281777228982198"
"(1, 2)","{2: 0, 3: 1}","{3: 0, 4: 1}","0,8123054723054725"
"(1, 2)","{2: 0, 4: 2}",{},"0,818747829483364"
"(1, 2)","{2: 0, 4: 2}",{3: 0},"0,8539674611103184"
"(1, 2)","{2: 0, 4: 2}",{4: 1},"0,8189951870076094"
"(1, 2)","{2: 0, 4: 2}","{3: 0, 4: 1}","0,8155570244292047"
"(1, 2)","{3: 1, 4: 2}",{},"0,8275250756290313"
"(1, 2)","{3: 1, 4: 2}",{3: 0},"0,8766408697866499"
"(1, 2)","{3: 1, 4: 2}",{4: 1},"0,8442352073014093"
"(1, 2)","{3: 1, 4: 2}","{3: 0, 4: 1}","0,809715046857904"
"(1, 2)","{2: 0, 3: 1, 4: 2}",{},"0,7942476745222741"
"(1, 2)","{2: 0, 3: 1, 4: 2}",{3: 0},"0,8308391222676936"
"(1, 2)","{2: 0, 3: 1, 4: 2}",{4: 1},"0,8617298850218106"
"(1, 2)","{2: 0, 3: 1, 4: 2}","{3: 0, 4: 1}","0,8524759701451431"
"(1, 3)",{},{},"0,8284910077391281"
"(1, 3)",{},{3: 0},"0,8075381761096047"
"(1, 3)",{},{4: 1},"0,8551593127369526"
"(1, 3)",{},"{3: 0, 4: 1}","0,8266328909186053"
"(1, 3)",{2: 0},{},"0,8558065123282514"
"(1, 3)",{2: 0},{3: 0},"0,8587936875154921"
"(1, 3)",{2: 0},{4: 1},"0,8149131820560391"
"(1, 3)",{2: 0},"{3: 0, 4: 1}","0,8034595838943666"
"(1, 3)",{3: 1},{},"0,8155702442920489"
"(1, 3)",{3: 1},{3: 0},"0,8377153005724435"
"(1, 3)",{3: 1},{4: 1},"0,8200810576586974"
"(1, 3)",{3: 1},"{3: 0, 4: 1}","0,8283145426002569"
"(1, 3)",{4: 2},{},"0,7813422275664837"
"(1, 3)",{4: 2},{3: 0},"0,831693712459386"
"(1, 3)",{4: 2},{4: 1},"0,8273062526445986"
"(1, 3)",{4: 2},"{3: 0, 4: 1}","0,8638708245919275"
"(1, 3)","{2: 0, 3: 1}",{},"0,8464651290738248"
"(1, 3)","{2: 0, 3: 1}",{3: 0},"0,8740426850037835"
"(1, 3)","{2: 0, 3: 1}",{4: 1},"0,8248058650150838"
"(1, 3)","{2: 0, 3: 1}","{3: 0, 4: 1}","0,8403134132947798"
"(1, 3)","{2: 0, 4: 2}",{},"0,8313592988682889"
"(1, 3)","{2: 0, 4: 2}",{3: 0},"0,8719433557615971"
"(1, 3)","{2: 0, 4: 2}",{4: 1},"0,8224989296417868"
"(1, 3)","{2: 0, 4: 2}","{3: 0, 4: 1}","0,8213456283283025"
"(1, 3)","{3: 1, 4: 2}",{},"0,8517233893925624"
"(1, 3)","{3: 1, 4: 2}",{3: 0},"0,8405723458191586"
"(1, 3)","{3: 1, 4: 2}",{4: 1},"0,862357064660384"
"(1, 3)","{3: 1, 4: 2}","{3: 0, 4: 1}","0,8374594168140599"
"(1, 3)","{2: 0, 3: 1, 4: 2}",{},"0,8026901051916401"
"(1, 3)","{2: 0, 3: 1, 4: 2}",{3: 0},"0,8411317254174397"
"(1, 3)","{2: 0, 3: 1, 4: 2}",{4: 1},"0,8341403317179715"
"(1, 3)","{2: 0, 3: 1, 4: 2}","{3: 0, 4: 1}","0,8249966389717942"
"(1, 4)",{},{},"0,8290361644398911"
"(1, 4)",{},{3: 0},"0,8315437945513133"
"(1, 4)",{},{4: 1},"0,7841154051353464"
"(1, 4)",{},"{3: 0, 4: 1}","0,8041992426954833"
"(1, 4)",{2: 0},{},"0,8089981447124305"
"(1, 4)",{2: 0},{3: 0},"0,8555120242076765"
"(1, 4)",{2: 0},{4: 1},"0,806969696969697"
"(1, 4)",{2: 0},"{3: 0, 4: 1}","0,8025878883021739"
"(1, 4)",{3: 1},{},"0,853614480757338"
"(1, 4)",{3: 1},{3: 0},"0,8417774771812041"
"(1, 4)",{3: 1},{4: 1},"0,8055748627177197"
"(1, 4)",{3: 1},"{3: 0, 4: 1}","0,853614480757338"
"(1, 4)",{4: 2},{},"0,8143136312309246"
"(1, 4)",{4: 2},{3: 0},"0,8096791239648382"
"(1, 4)",{4: 2},{4: 1},"0,8191190143625581"
"(1, 4)",{4: 2},"{3: 0, 4: 1}","0,8263417534846107"
"(1, 4)","{2: 0, 3: 1}",{},"0,8383975988964069"
"(1, 4)","{2: 0, 3: 1}",{3: 0},"0,8181520067234354"
"(1, 4)","{2: 0, 3: 1}",{4: 1},"0,8153623569413043"
"(1, 4)","{2: 0, 3: 1}","{3: 0, 4: 1}","0,8163241520384378"
"(1, 4)","{2: 0, 4: 2}",{},"0,8551593127369526"
"(1, 4)","{2: 0, 4: 2}",{3: 0},"0,8193068835925977"
"(1, 4)","{2: 0, 4: 2}",{4: 1},"0,864313055365687"
"(1, 4)","{2: 0, 4: 2}","{3: 0, 4: 1}","0,8327448741734456"
"(1, 4)","{3: 1, 4: 2}",{},"0,8246505875077305"
"(1, 4)","{3: 1, 4: 2}",{3: 0},"0,8477806654498385"
"(1, 4)","{3: 1, 4: 2}",{4: 1},"0,8314175472560565"
"(1, 4)","{3: 1, 4: 2}","{3: 0, 4: 1}","0,8436644917684475"
"(1, 4)","{2: 0, 3: 1, 4: 2}",{},"0,7973121081816734"
"(1, 4)","{2: 0, 3: 1, 4: 2}",{3: 0},"0,8124802733498385"
"(1, 4)","{2: 0, 3: 1, 4: 2}",{4: 1},"0,8255468573238608"
"(1, 4)","{2: 0, 3: 1, 4: 2}","{3: 0, 4: 1}","0,8239648382505527"
"(2, 3)",{},{},"0,8801449678141408"
"(2, 3)",{},{3: 0},"0,8207796964939823"
"(2, 3)",{},{4: 1},"0,8412598788375186"
"(2, 3)",{},"{3: 0, 4: 1}","0,8339942666029624"
"(2, 3)",{2: 0},{},"0,8578378143595536"
"(2, 3)",{2: 0},{3: 0},"0,809110589385189"
"(2, 3)",{2: 0},{4: 1},"0,8691609977324264"
"(2, 3)",{2: 0},"{3: 0, 4: 1}","0,8249581463540274"
"(2, 3)",{3: 1},{},"0,8170377241805813"
"(2, 3)",{3: 1},{3: 0},"0,8418552875695733"
"(2, 3)",{3: 1},{4: 1},"0,834778836723917"
"(2, 3)",{3: 1},"{3: 0, 4: 1}","0,8223309215220237"
"(2, 3)",{4: 2},{},"0,7935064935064935"
"(2, 3)",{4: 2},{3: 0},"0,8167499167499168"
"(2, 3)",{4: 2},{4: 1},"0,892513551611296"
"(2, 3)",{4: 2},"{3: 0, 4: 1}","0,8049672241238112"
"(2, 3)","{2: 0, 3: 1}",{},"0,8223579890025073"
"(2, 3)","{2: 0, 3: 1}",{3: 0},"0,8156632532408931"
"(2, 3)","{2: 0, 3: 1}",{4: 1},"0,8160363446077732"
"(2, 3)","{2: 0, 3: 1}","{3: 0, 4: 1}","0,8378850055541786"
"(2, 3)","{2: 0, 4: 2}",{},"0,8350294426070823"
"(2, 3)","{2: 0, 4: 2}",{3: 0},"0,853741841319481"
"(2, 3)","{2: 0, 4: 2}",{4: 1},"0,823698782420587"
"(2, 3)","{2: 0, 4: 2}","{3: 0, 4: 1}","0,8153560724989296"
"(2, 3)","{3: 1, 4: 2}",{},"0,8266328909186053"
"(2, 3)","{3: 1, 4: 2}",{3: 0},"0,8319447829058814"
"(2, 3)","{3: 1, 4: 2}",{4: 1},"0,8566298302223482"
"(2, 3)","{3: 1, 4: 2}","{3: 0, 4: 1}","0,8675539356578913"
"(2, 3)","{2: 0, 3: 1, 4: 2}",{},"0,8370022317227287"
"(2, 3)","{2: 0, 3: 1, 4: 2}",{3: 0},"0,8308391222676936"
"(2, 3)","{2: 0, 3: 1, 4: 2}",{4: 1},"0,8386708529565673"
"(2, 3)","{2: 0, 3: 1, 4: 2}","{3: 0, 4: 1}","0,8237474120082816"
"(2, 4)",{},{},"0,8216002424076959"
"(2, 4)",{},{3: 0},"0,8416157134790675"
"(2, 4)",{},{4: 1},"0,8199671371099944"
"(2, 4)",{},"{3: 0, 4: 1}","0,8712167971401421"
"(2, 4)",{2: 0},{},"0,8041992426954833"
"(2, 4)",{2: 0},{3: 0},"0,8609404880833453"
"(2, 4)",{2: 0},{4: 1},"0,8717390879796895"
"(2, 4)",{2: 0},"{3: 0, 4: 1}","0,837858518293301"
"(2, 4)",{3: 1},{},"0,8496062943267914"
"(2, 4)",{3: 1},{3: 0},"0,818652775795633"
"(2, 4)",{3: 1},{4: 1},"0,8273062526445986"
"(2, 4)",{3: 1},"{3: 0, 4: 1}","0,8506240569580165"
"(2, 4)",{4: 2},{},"0,8409186052043197"
"(2, 4)",{4: 2},{3: 0},"0,8465795858277063"
"(2, 4)",{4: 2},{4: 1},"0,8344514448175776"
"(2, 4)",{4: 2},"{3: 0, 4: 1}","0,8335925978783123"
"(2, 4)","{2: 0, 3: 1}",{},"0,7872058608462184"
"(2, 4)","{2: 0, 3: 1}",{3: 0},"0,8242795531994138"
"(2, 4)","{2: 0, 3: 1}",{4: 1},"0,8266328909186053"
"(2, 4)","{2: 0, 3: 1}","{3: 0, 4: 1}","0,8147281290138434"
"(2, 4)","{2: 0, 4: 2}",{},"0,8050013754361581"
"(2, 4)","{2: 0, 4: 2}",{3: 0},"0,8459168589830611"
"(2, 4)","{2: 0, 4: 2}",{4: 1},"0,8101243477019874"
"(2, 4)","{2: 0, 4: 2}","{3: 0, 4: 1}","0,8511392116655275"
"(2, 4)","{3: 1, 4: 2}",{},"0,8183213680729209"
"(2, 4)","{3: 1, 4: 2}",{3: 0},"0,8453809958157785"
"(2, 4)","{3: 1, 4: 2}",{4: 1},"0,8319702418100589"
"(2, 4)","{3: 1, 4: 2}","{3: 0, 4: 1}","0,8294161669938068"
"(2, 4)","{2: 0, 3: 1, 4: 2}",{},"0,8344514698551968"
"(2, 4)","{2: 0, 3: 1, 4: 2}",{3: 0},"0,8450873938091984"
"(2, 4)","{2: 0, 3: 1, 4: 2}",{4: 1},"0,8417643240676433"
"(2, 4)","{2: 0, 3: 1, 4: 2}","{3: 0, 4: 1}","0,7884754093024771"
"(3, 4)",{},{},"0,8193442480660528"
"(3, 4)",{},{3: 0},"0,8417774771812041"
"(3, 4)",{},{4: 1},"0,8310276679841898"
