Skip Input Hidden,Skip Hidden 1,Skip Hidden 2,F1 Macro
(),"{3: 1, 6: 4}","{4: 1, 5: 2, 6: 3}","0,7988635532414335"
(),"{3: 1, 6: 4}","{3: 0, 4: 1, 5: 2, 6: 3}","0,7836561934306294"
(),"{4: 2, 5: 3}",{},"0,593043742590022"
(),"{4: 2, 5: 3}",{3: 0},"0,7874458874458874"
(),"{4: 2, 5: 3}",{4: 1},"0,8109359312366832"
(),"{4: 2, 5: 3}",{5: 2},"0,7268811168191974"
(),"{4: 2, 5: 3}",{6: 3},"0,7414530397139093"
(),"{4: 2, 5: 3}","{3: 0, 4: 1}","0,7877393607454349"
(),"{4: 2, 5: 3}","{3: 0, 5: 2}","0,7785290370600048"
(),"{4: 2, 5: 3}","{3: 0, 6: 3}","0,8592897995905515"
(),"{4: 2, 5: 3}","{4: 1, 5: 2}","0,6931481894615537"
(),"{4: 2, 5: 3}","{4: 1, 6: 3}","0,6554795845835507"
(),"{4: 2, 5: 3}","{5: 2, 6: 3}","0,6915022381612242"
(),"{4: 2, 5: 3}","{3: 0, 4: 1, 5: 2}","0,723371866229009"
(),"{4: 2, 5: 3}","{3: 0, 4: 1, 6: 3}","0,7841074961742486"
(),"{4: 2, 5: 3}","{3: 0, 5: 2, 6: 3}","0,859118659118659"
(),"{4: 2, 5: 3}","{4: 1, 5: 2, 6: 3}","0,7073440285248135"
(),"{4: 2, 5: 3}","{3: 0, 4: 1, 5: 2, 6: 3}","0,854602415128731"
(),"{4: 2, 6: 4}",{},"0,7787345987345987"
(),"{4: 2, 6: 4}",{3: 0},"0,8542629428623484"
(),"{4: 2, 6: 4}",{4: 1},"0,7925349322864851"
(),"{4: 2, 6: 4}",{5: 2},"0,7337983653773128"
(),"{4: 2, 6: 4}",{6: 3},"0,6924820083886891"
(),"{4: 2, 6: 4}","{3: 0, 4: 1}","0,714825752200395"
(),"{4: 2, 6: 4}","{3: 0, 5: 2}","0,8577357425183513"
(),"{4: 2, 6: 4}","{3: 0, 6: 3}","0,7924606830458415"
(),"{4: 2, 6: 4}","{4: 1, 5: 2}","0,7685024579044619"
(),"{4: 2, 6: 4}","{4: 1, 6: 3}","0,7243317305850919"
(),"{4: 2, 6: 4}","{5: 2, 6: 3}","0,8347782111706284"
(),"{4: 2, 6: 4}","{3: 0, 4: 1, 5: 2}","0,7619217661770853"
(),"{4: 2, 6: 4}","{3: 0, 4: 1, 6: 3}","0,8059113905599685"
(),"{4: 2, 6: 4}","{3: 0, 5: 2, 6: 3}","0,8075064210104274"
(),"{4: 2, 6: 4}","{4: 1, 5: 2, 6: 3}","0,813464271291019"
(),"{4: 2, 6: 4}","{3: 0, 4: 1, 5: 2, 6: 3}","0,8218707862186123"
(),"{5: 3, 6: 4}",{},"0,6143379080392106"
(),"{5: 3, 6: 4}",{3: 0},"0,7674351762373541"
(),"{5: 3, 6: 4}",{4: 1},"0,7703086976417362"
(),"{5: 3, 6: 4}",{5: 2},"0,7527631788501354"
(),"{5: 3, 6: 4}",{6: 3},"0,7816779858796664"
(),"{5: 3, 6: 4}","{3: 0, 4: 1}","0,8221599311661424"
(),"{5: 3, 6: 4}","{3: 0, 5: 2}","0,7803907203907203"
(),"{5: 3, 6: 4}","{3: 0, 6: 3}","0,8556268565258431"
(),"{5: 3, 6: 4}","{4: 1, 5: 2}","0,7638908459961093"
(),"{5: 3, 6: 4}","{4: 1, 6: 3}","0,6403062992348707"
(),"{5: 3, 6: 4}","{5: 2, 6: 3}","0,5842050180396045"
(),"{5: 3, 6: 4}","{3: 0, 4: 1, 5: 2}","0,8711759379708323"
(),"{5: 3, 6: 4}","{3: 0, 4: 1, 6: 3}","0,8092336235193377"
(),"{5: 3, 6: 4}","{3: 0, 5: 2, 6: 3}","0,8638499620069399"
(),"{5: 3, 6: 4}","{4: 1, 5: 2, 6: 3}","0,8473350459064745"
(),"{5: 3, 6: 4}","{3: 0, 4: 1, 5: 2, 6: 3}","0,8259571322985957"
(),"{2: 0, 3: 1, 4: 2}",{},"0,8300899100899101"
(),"{2: 0, 3: 1, 4: 2}",{3: 0},"0,768769325912183"
(),"{2: 0, 3: 1, 4: 2}",{4: 1},"0,7529921359015833"
(),"{2: 0, 3: 1, 4: 2}",{5: 2},"0,7636826554119788"
(),"{2: 0, 3: 1, 4: 2}",{6: 3},"0,8278374455923314"
(),"{2: 0, 3: 1, 4: 2}","{3: 0, 4: 1}","0,7663761050979095"
(),"{2: 0, 3: 1, 4: 2}","{3: 0, 5: 2}","0,7423992537293029"
(),"{2: 0, 3: 1, 4: 2}","{3: 0, 6: 3}","0,8187014187014187"
(),"{2: 0, 3: 1, 4: 2}","{4: 1, 5: 2}","0,722398387272529"
(),"{2: 0, 3: 1, 4: 2}","{4: 1, 6: 3}","0,8229480816666171"
(),"{2: 0, 3: 1, 4: 2}","{5: 2, 6: 3}","0,7269763852446366"
(),"{2: 0, 3: 1, 4: 2}","{3: 0, 4: 1, 5: 2}","0,7105978529051046"
(),"{2: 0, 3: 1, 4: 2}","{3: 0, 4: 1, 6: 3}","0,8616780045351472"
(),"{2: 0, 3: 1, 4: 2}","{3: 0, 5: 2, 6: 3}","0,8413794418142244"
(),"{2: 0, 3: 1, 4: 2}","{4: 1, 5: 2, 6: 3}","0,7356687244559098"
(),"{2: 0, 3: 1, 4: 2}","{3: 0, 4: 1, 5: 2, 6: 3}","0,8132198029713559"
(),"{2: 0, 3: 1, 5: 3}",{},"0,7756275555278531"
(),"{2: 0, 3: 1, 5: 3}",{3: 0},"0,8082409403462035"
(),"{2: 0, 3: 1, 5: 3}",{4: 1},"0,6862305023936283"
(),"{2: 0, 3: 1, 5: 3}",{5: 2},"0,7911642818046759"
(),"{2: 0, 3: 1, 5: 3}",{6: 3},"0,7719960351539299"
(),"{2: 0, 3: 1, 5: 3}","{3: 0, 4: 1}","0,7644196506441404"
(),"{2: 0, 3: 1, 5: 3}","{3: 0, 5: 2}","0,8527533118510562"
(),"{2: 0, 3: 1, 5: 3}","{3: 0, 6: 3}","0,7493584685702912"
(),"{2: 0, 3: 1, 5: 3}","{4: 1, 5: 2}","0,7169012943177109"
(),"{2: 0, 3: 1, 5: 3}","{4: 1, 6: 3}","0,7695249195249196"
(),"{2: 0, 3: 1, 5: 3}","{5: 2, 6: 3}","0,7566973084171307"
(),"{2: 0, 3: 1, 5: 3}","{3: 0, 4: 1, 5: 2}","0,7640880382721537"
(),"{2: 0, 3: 1, 5: 3}","{3: 0, 4: 1, 6: 3}","0,8537270157916821"
(),"{2: 0, 3: 1, 5: 3}","{3: 0, 5: 2, 6: 3}","0,8618006432571917"
(),"{2: 0, 3: 1, 5: 3}","{4: 1, 5: 2, 6: 3}","0,7373892077620708"
(),"{2: 0, 3: 1, 5: 3}","{3: 0, 4: 1, 5: 2, 6: 3}","0,7433672114880769"
(),"{2: 0, 3: 1, 6: 4}",{},"0,72056130745983"
(),"{2: 0, 3: 1, 6: 4}",{3: 0},"0,816301000949579"
(),"{2: 0, 3: 1, 6: 4}",{4: 1},"0,7085217101194546"
(),"{2: 0, 3: 1, 6: 4}",{5: 2},"0,7577564951406855"
(),"{2: 0, 3: 1, 6: 4}",{6: 3},"0,8128822700251271"
(),"{2: 0, 3: 1, 6: 4}","{3: 0, 4: 1}","0,7788264185779713"
(),"{2: 0, 3: 1, 6: 4}","{3: 0, 5: 2}","0,8097662988640433"
(),"{2: 0, 3: 1, 6: 4}","{3: 0, 6: 3}","0,7810304223877925"
(),"{2: 0, 3: 1, 6: 4}","{4: 1, 5: 2}","0,8264676541368271"
(),"{2: 0, 3: 1, 6: 4}","{4: 1, 6: 3}","0,8295682603514749"
(),"{2: 0, 3: 1, 6: 4}","{5: 2, 6: 3}","0,801886033765733"
(),"{2: 0, 3: 1, 6: 4}","{3: 0, 4: 1, 5: 2}","0,7348078923013805"
(),"{2: 0, 3: 1, 6: 4}","{3: 0, 4: 1, 6: 3}","0,7898406317185118"
(),"{2: 0, 3: 1, 6: 4}","{3: 0, 5: 2, 6: 3}","0,7947424855975301"
(),"{2: 0, 3: 1, 6: 4}","{4: 1, 5: 2, 6: 3}","0,7724570892830417"
(),"{2: 0, 3: 1, 6: 4}","{3: 0, 4: 1, 5: 2, 6: 3}","0,8279461499598799"
(),"{2: 0, 4: 2, 5: 3}",{},"0,758179793656593"
(),"{2: 0, 4: 2, 5: 3}",{3: 0},"0,7813333700551743"
(),"{2: 0, 4: 2, 5: 3}",{4: 1},"0,787607775018831"
(),"{2: 0, 4: 2, 5: 3}",{5: 2},"0,7851838329118487"
(),"{2: 0, 4: 2, 5: 3}",{6: 3},"0,7853428754126127"
